abandon,"v./n.放纵
v.放弃","1.freedom from constraint
2.withdraw"
gratuitous,"adj.无根据的，无理由的
adj.无报酬的，免费的","1. unwarranted
2. without return"
green,adj.无经验的,deficient; experience
gregarious,"adj.爱社交的
adj.群居的","1. enjoy the company
2. group with others"
grieve,vt.（使）感到悲伤,deep sadness
glamorous,adj.迷人的,magical power to attract
grin,v.咧嘴笑，咧嘴笑着表示,express an emotion
gripe,vi.抱怨,dissatisfaction
grisly,adj.令人反感的，令人恐惧的,repugnance
groove,v.享受，极其满意，过得快活,take pleasure in
grotesque,adj.难看的,unpleasant
grovel,vi.卑躬屈膝,draw back; fearful submission
grueling,adj.费时间花心思的,requiring
guile,n.狡猾，狡诈,misleading
gull,vt.欺骗,untrue
glean,v.收集,collect
groundless,adj.没有依据的,no basis in reason
gush,v.（使）感情强烈外溢,exaggerated display
gust,n.情感爆发,sudden intense expression
guzzle,v.狂饮,drink greedily
hack,"n.雇佣文人
v.乱砍；开辟
","1. writer; commercial
2. irregular blows"
hackneyed,adj.陈腐的，缺乏创新的,lacking; freshness; originality
halcyon,"adj.宁静的，平静的
",free from
hale,"adj.强壮的，健壮的
",free from infirmity or illness
half-baked,adj.不明智的,lack of good sense or judgment
hallmark,n.典型的特征,conspicuous feature
hallow,vt.尊敬，把…视为神圣,respect
hallucination,n.错觉,false idea
ham-handed,adj.笨手笨脚的,lacking dexterity
hammer,v.屡次重申,repeated
hamper,vt.阻碍,restrict the movement; impede
hamstring,vt.使无效，使无力,ineffective
hangdog,adj.伤心的，沮丧的,sad; dejected
hanker,v./n.向往，渴望,desire; yearn
haphazard,adj.无秩序的，无目标的,"lack of plan, order, or direction"
harangue,v./n.（发表）长篇大论,long pompous
harass,vt．烦扰；,irritate persistently
harbinger,n.预言者,presages
harbor,vt.心怀，牢记,keep in one's mind
hard-bitten,adj.顽强的，经受得住困境、压力的,able to withstand
hardy,adj.顽强的,able to withstand
harmonious,adj.和谐一致的,agreeably related
harness,vt.利用,utilize
harrow,vt.折磨，使苦恼,distress; torment
harry,vt.不断烦扰，骚扰,distress; harass
harsh,adj. 严厉的,exacting
hasten,vt.促进,speed up; accelerate
hasty,adj. 轻率的,superficial; excessive or careless speed
haunt,"vt. 常去拜访
vt. 不断地想起，萦绕心头","1. frequent
2. obsess"
hauteur,n. 傲慢，自大,arrogance
haven,n. 安全的地方,place of safety
havoc,n. 大混乱,out of order
headlong,adj. 鲁莽的，草率的,without deliberation
hearken,vi. 倾听，关注,attention
hearten,vt. 给予鼓励，鼓舞,"give strength, courage; encourage"
heartrending,adj. 令人心碎的,"sorrow, distress"
hedonism,n. 享乐主义,doctrine pleasure
hegemony,n. 霸权，统治权,preponderant authority
heinous,adj. 可憎的，十恶不赦的,hatefully
hew,vi. 遵守,confirm; hold to something firmly
herald,vt. 预示，预兆,indication of beforehand
heresy,n. 异教，和普遍观点相悖的说法,controversial or unorthodox opinion
heretical,adj. 异教的，异端邪说的,departure standards
hermetic,adj. 深奥的,abstruseness
hagiographic,adj.捧为圣人一般的，过分谄媚的,overly or insincerely flattering
heterodox,adj. 非正统的，异端的,unorthodox opinions
hidebound,adj. 死板的，极度保守的,tending to favor
hideous,adj. 非常丑陋的,ugly
hie,vi. 匆匆忙忙,hasten
humbug,n. 骗子,deceptive
hilarious,adj. 非常好笑的,extremely funny
histrionic,adj. 夸张做作的,dramatic
hive,"n. 忙碌之地
v. 储备，积累","1. activity
2. store up"
hoard,v. 贮藏，秘藏,keep hidden
hoary,adj. 极老的,extremely old
hoax,n. / vt. 欺骗,cause to believe untrue
hodgepodge,n. 大杂烩,"mixture, dissimilar"
homage,n. 尊敬，敬意,respect
homely,adj. 其貌不扬的，朴素简单的,not attractive
homily,n. 冗长乏味的道德讲演或训诫,admonition
homogenize,vt.使统一化,make agree with a single established standard
hone,vt. 提升，改进,improve
hoodwink,vt. 欺骗,deceptive
hortative,adj. 鼓励的,exhortation
heartfelt,adj. 真心实意的,genuine
hubris,n. 狂妄自大,exaggerated ride or self-confidence
humble,"adj. 谦逊的
adj. 顺从的，谦卑的","1. meekness or modesty
2.. humility or unseemly submissiveness"
hedge,v. 闪烁其词,avoid definite answer
humor,vt. 迎合，迁就,comply with
hurricane,n. 飓风般的事物，引起动荡的事物,resembling a hurricane
husband,vt. 节俭，勤俭持家,use economically
husk,vt. 剥去,remove
husky,adj. （尤指声音）沙哑的，粗糙的,rough
hybrid,"n. 杂交品种，混合品种
adj. 杂交的","1. mixed origin
2. parents of different races"
hymn,n. 赞歌，赞美诗,song of praise
hyperbole,n. 夸张,exaggeration used for emphasis
hypnotic,adj. 催眠的,cause sleep
hypocritical,adj. 虚伪的,not being what one appears to be
iconoclast,n. 特立独行的人,accepted standards
idolatrize,vt. （通常盲目）崇拜,admires intensely
idyll,n. 无忧无虑的生活,carefree episode
ignite,vt. 激起，唤起(感情等）,arouse the passions 
ignominy,n. 耻辱,lost the esteem
illiteracy,n. 文盲,unable to read and write
illuminati,n. 智者,enlightened
illuminate,vt. 阐明,make plain
illusory,adj. 幻觉的，虚幻的,illusion
imbibe,v. 喝水，摄取水分,take in liquid
imbroglio,n. 困境，复杂的局面,complicated situation
imitation,n. 仿制品,like something else
immaculate,adj. 完美的，没有任何错误的,without fault
immanent,adj. 内在的,innermost
immaterial,adj. 无关的，不重要的,no relevance
immature,adj. （生理、心理）未完全发展的，未发育成熟的,lacking complete growth
immemorial,adj. 古老的,from the distant past
immune,"adj. 不易被感染的，有免疫力的
adj. 不受影响的","1. having resistence to infection
2. not affected by influence"
immure,vt. 监禁，禁闭；使闭门不出,confine
immutable,adj. 不可变的,not capable of changing
impassive,adj. 冷漠的，无感情的,no sign of feeling
impeccable,adj. 无暇的，无可挑剔的,free from fault
impecunious,adj. 贫穷的,no money
impede,vt. 妨碍，阻碍,slow the progress of
impending,adj. 即将发生的,soon to take place
impenetrable,"adj. 不可渗透的，不可穿透的
adj. 难以理解的","1. impossible to get through
2. incapable of being comprehended"
impenitent,adj. 不悔悟的,not regretful
imperative,"adj. 命令的，强制性的
adj. 迫切的","1. force one's compliance
2. needing immediate attention"
imperial,adj. 巨大的，令人惊叹的,impressive in size
imperious,adj. 傲慢的，专横的,arrogantly domineering
impertinent,"adj. 无关紧要的
adj. 粗鲁无礼的，大胆的","1. not having relevance
2. insolent rudeness"
imperturbable,adj. 沉着冷静的，淡定的,extremely calm
impervious,"adj. 不可渗透的，不可穿透的
adj. 不能被破坏的
adj. 不为所动的","1. not allowing entrance
2. not capable of being damaged
3. not capable of being affected"
impetuous,adj. 冲动的，性急的，轻率的,impulsive vehemence
impious,adj. 不敬神的,lacking reverence
implacable,"adj. 固执的
adj. 无法平息的","1. sticking to an opinion
2. not capable of being appeased"
implement,vt. 执行，实施,carry out
implode,v. （使）剧烈收缩，（使）坍缩，（使）内爆,collapse inward
importune,vt. 恳求，迫切请求,urgent manner
imposing,adj. 宏伟壮丽的,impressive
impostor,n. 冒充者，骗子,assumes false identity
impotent,adj. 无力的，无能的,lacking in power
imprecise,adj. 不精确的,not precise
impromptu,"n. 即席的表演
adj. 即席的，即兴的","1. done extemporaneously
2. without previous preparation"
improvise,v. 即兴而作,perform with little or no preparation
imprudent,adj. 不明智的,lacking good judgement
impudent,adj. 放肆大胆的，无礼的,boldness or disregard
impugn,vt. 责难，抨击,attack as false
impuissance,n. 无权，虚弱,lack of power
inadvertent,"adj. 偶然发生的
adj. 疏忽的，不留意的","1. by chance
2. unintentional lack of force"
inalienable,adj. 不可剥夺的，不能让与的,cannot be transferred
inane,adj. 空洞的,lacking significance
inanimate,adj. 无生命的,not living
inaugurate,vt. 开始,begin
incandescent,"adj. 明亮灿烂的
adj. 热情饱满的，感情强烈的","1. bright
2. zeal"
incantation,n. 咒语,magic power
incarnate,vt. 使（思想，理论）具化，体现,constitute an embodiment
incendiary,"n. 煽动者
adj. 煽动性的","1. a person who stirs up
2. tending to inflame"
incense,vt. 激怒,extremely angry
inception,n. 开端，开始,beginning
incessant,adj. 无间断的,without interruption
inch,v. （使）慢慢移动,move slowly
inchoate,adj. 新生的，才开始的,early stage
incinerate,v. 将…烧成灰烬,burn to ashes
incipient,adj. 起初的，初现的,beginning to come into being
incite,vt. 煽动，激起,provoke
inclement,"adj. （天气等）恶劣的
adj. 无情的，严酷的","1. lacking mildness
2. unmerciful"
incogitant,adj. 考虑不周的，不体谅的,inconsiderate
incongruent,adj. 不全等的；不一致的,not conforming
inconsequential,adj. 不重要的,no significance
incontrovertible,adj. 不可争议的,not open to question
incorrigible,"adj. 不可救药的，积习难改的
adj. 无法管制的","1. incapable of being corrected
2. impossible to control"
incriminate,vt. 归罪于,accuse of a crime
incubate,"vt. 孵化
vt. 帮助，培养，促进","1. cover and warm eggs
2. aid"
inculpate,vt. 归罪于,incriminate
incursion,n. 入侵,hostile entrance
indelible,adj. 无法忘怀的,not easily forgotten
indemnity,n. (损害，伤害等的）保险赔偿,compensation
indict,vt. 起诉，控告,accuse
indifferent,adj. 不感兴趣的，冷漠的,lack of interst
indigenous,"adj. 土产的，本地的
adj. 与生俱来的，先天的","1. originating
2. innermost nature"
indigent,adj. 贫穷的,lacking money
indispensable,adj. 必不可少的，不可或缺的,impossible to do without
indoctrinate,vt. 教育，灌输思想,instruct
indolent,adj. 懒惰的,averse to activity
induce,v. 引发，导致,cause
indulgent,adj. （对己）放纵的，（对他人）纵容的,given to indulgence
indurate,"adj. 铁石心肠的，冷酷无情的
vt. 使变硬","1. a lack of sympathy
2. physically firm"
industrious,adj. 勤勉的,diligent
ineffable,adj. 难以表达的,incapable expressed
ineluctable,adj. 无法逃避的，必然的,not to be avoided
inept,"adj. 愚笨的，荒谬的
adj. 不称职的，无能力的","1. lack of judgment
2. incompetent"
inert,adj. （人）懒惰缺乏活力的；（物品）惰性的,sluggish; deficient
inevitable,adj. 不可避免的，必然的,incapable avoided
inexorable,adj. 无法劝阻的，不为所动的,not persuaded
infamous,adj. 臭名昭著的,bad reputation
infatuate,vt. 使迷恋,inspire with unreasoning love
incommensurate,adj. 不相称的,too large or too small
infiltrate,vt. 秘密潜入,enter surreptitiously
infinite,adj. 无尽的，无限的,no boundaries
infirm,"adj. 虚弱的
adj. 不果断的，优柔寡断的","1. weak in body
2. lacking firmness of will"
inflame,vt. 使加剧,more voilent
infelicitous,"adj. 不愉快的，不幸的
adj. 不适当的，不合时宜的","1. unfortune
2. not appropriate"
influx,n. 滴入,coming in
infuriate,vt. 激怒,make furious
infuse,vt. 灌输，使… 充满,fill
ingenious,adj. 聪明的，有创造才能的,"resourcefulness, cleverness"
intermediary,n. 中间人,bring about an agreement
ingenuous,adj. 天真淳朴的,lacking cunning
ingest,vt. 摄入，咽下,take into body
ingrained,adj. 本质的，根深蒂固的,firmly established
ingratiating,"adj. 讨人喜欢的
adj. 逢迎的，意在奉承的","1. winning favor
2. gain favor"
inherent,adj. 内在的，本质的,essential
inimical,adj. 带有敌意的,hostility
inimitable,adj. 无法仿效的，独特的,not imitated
iniquity,n. 邪恶，不公正,immorality injustice
initiate,vt. 创始，发动促进,cause beginning
inkling,n. 轻微暗示，小提示,slight indication
innocuous,"adj. 无害的
adj. 不会引起敌意的","1. not jury
2. not arouse"
innovative,adj. 创新性的,introducing innovations
inquisitive,adj. 过分好奇的,inordinately
insensible,adj. 无知觉的,lost consciousness
inconsistent,adj. 不一致的，矛盾的,not being in agreement
insentient,"adj. 无感觉的，无知觉的
adj. 一知半解的，略懂的","1. lacking perception
2. not having a deep understanding"
inconclusive,adj. 没有定论的,not certainly true
insipid,adj. 平淡的，无聊的,lacking interest
insolent,adj. 粗野的，无礼的,rude
insouciant,adj. 无忧虑的，不在乎的,free from concern
instate,vt. 任命,establish rank
instigate,vt. 煽动，激起,urge forward; stir up
instill,vt. 灌输，使… 充满,impart 
institute,vt. 创立，制定,eatablish
insubordinate,adj. 不服从权威的,not submissive
insular,adj. （观念，想法等）孤立狭隘的,narrow provincial viewpoint
insulate,vt. 使绝缘，使隔离，不受外界影响,detached situation
insurgent,n. 叛乱分子,opposes authority
intangible,adj. 无法感知的，无形的,incapable perceived
integral,adj. 完整的,not lacking any part
integrity,"n. 正直
n. 完整性","1. adherence moral
2. being whole"
intelligible,adj. 可理解的,being understood
intemperate,adj. 无节制的，极端的，不温和的,not temperate
intensify,vt. 加强，激化,make intense
inter,vt. 埋葬,place in grave
intercessor,n. 调停者,mediates
interdict,vt. 禁止,forbid
interim,"n. 中间过渡时期，间隔
adj. 暂时的","1. time between event
2. for the time being"
interlock,vi. 连锁，连结,joined closely
interminable,adj. 无尽头的,no end
intermittent,adj. 断断续续的,not continuous
interregnum,n. 过渡期,break
interrogate,vt. 质问，审问,question formally
intimate,"adj. 有紧密联系的，亲密无间的
v. 间接地沟通","1. close association
2. communicate"
intimidate,vt. 威吓,frighten
intoxicant,n. 使人陶醉的东西（尤指饮料）,intoxicates
intransigent,adj. 不妥协的，固执的,refusal to compromise
intrepid,adj. 大胆的,resolute fearlessness
intrigue,"n. 阴谋
vt. 激起…的兴趣","1. secret plan
2. arouse curiosity"
intrinsic,adj. 固有的，内在的,essential
intuitive,adj. 直觉的,by intuition
inundate,vt. 淹没,cover with flood
inure,vt. 使习惯接受不好的东西,accustom
invective,adj. 侮辱性的,characterized by insult
inveigh,vi. 激烈抗议，表示强烈不满,protest vehemently
inveigle,vt. 诱骗,win over by coaxing
inventory,n. (包含要点的）简介,short statement
inveterate,adj. 根深蒂固的,firmly established
invidious,"adj. 惹人反感的
adj. 羡慕嫉妒恨的","1. cause discontent
2. resentment of another's possessions"
invigorate,"vt. 使精神，使强壮，鼓舞激励
",impart vigor
invincible,adj. 不可战胜的，不可超越的,incapable conquered
invoke,"vt. 实施
vt. 产生，造成","1. put into effect
2. be the cause"
irascible,adj. 易怒的,easily provoked anger
irate,adj. 极其愤怒的,extremely angry
iridescent,adj. 五颜六色的,lustrous colors
irk,vt. 使烦恼，使厌倦,irritating
ironclad,adj. 非常坚固的，坚不可摧的,unbreakable
irradicable,adj. 不能根除的,impossible destroy
itinerant,adj. 巡游的，巡回的,traveling from place to place
irrigate,"vt. 灌溉
vt. 冲洗","1. supply water
2. flush"
irritate,vt. 刺激，惹恼,provoke anger
issue,"n. （有争议的）话题，议题
v. （使）流出","1. matter that is in dispute
2. flow out"
jabber,vi. 快而不清楚地说,"talk rapidly, indistinctly"
jaded,adj. 厌倦的，没兴趣没热情的,having patience exhausted
jape,v. 嘲弄,mockingly
jargon,n. 行业术语,specialized or technical language
jarring,adj. 刺耳的,discordant
jaundice,n. (因嫉妒或厌世而产生的）偏见,bias
jaunty,adj. 轻快的，活泼的,sprightly
jejune,adj.无趣乏味的,not interesting
jettison,vt. 放弃，拒绝接受（想法，计划等）,get rid of
jeopardy,n. 危险,risk of danger
jest,n. 轻浮的态度，戏谑,frivolous
jibe,vi. 意见一致,agree
jingoist,n. 极端爱国激进分子（通常表现为好战的对外政策）,extreme nationalism; belligerent
jitters,n. 紧张，不安,panic; nervouness
jocular,adj. 搞笑的，欢乐的,"joking, playful"
jocund,adj. 欢快的，高兴的,sprightly and lighthearted
jog,vt. 唤起,rouse
jolt,vt. 惊吓,unpleasant surprise
jot,vt. 简要记录,write briefly
jovial,adj. 愉快的,good-humored by jollity and conviviality
jubilant,adj. 喜悦的,joyful
judicious,adj. 明智的，慎重的,judgement; prudent
juggernaut,n. 无法阻挡的力量，摧毁一切的强大力量,overwhelming force
ken,n. 视野范围,vision
kidnap,vt. 绑架勒索,detain by unlawful force
kindle,vt. 点燃,set fire; ignite
kindred,adj. 类似的；具有相似或相近的起源、本性或性质的,"similar, origin"
knack,n. 诀窍，聪明的做法,clever
kilter,n. 平衡,fitness
knit,vt. 连接，联系,join closely
knotty,adj. 复杂的，困难的,full of difficulties and complications
kudos,"n. 名望，名声
n. 夸奖，赞扬","1. fame
2. acclaim or praise"
labile,adj. 易变的，不稳定的,unstable
laborious,"adj. 勤奋的
adj. 费力的","1. industrious
2. long, hard work"
labyrinth,adj. 迷宫似的，复杂曲折的,extremely complex in structure
lacerate,vt. 使非常痛苦,cause pain
lackluster,adj. 黯淡无光泽的,lacking brightness
lachrymose,adj. 催人泪下的，悲伤的,mournful
laconic,adj. 简洁（以至于显得粗鲁或难以理解）的,minimum of words; concise
lambaste,vt. 严厉斥责,scold sharply
lament,v.为…哀悼，表达痛苦或遗憾,express sorrow
libelous,adj. 恶意中伤的，诽谤的,libel
lampoon,n. 讽刺,harsh satire
languid,adj. 没精打采的，虚弱的,lacking energy
languish,vi. 变得衰弱,become feeble
languor,"n. 懒惰
n. 衰弱","1. inertness
2. weakness, weariness"
lank,"adj. 细长瘦弱的
adj. 不僵硬的，柔软松弛的","1. long and lean
2. not stiff; limp"
lapse,n. 小过失,slight error
largesse,n. 慷慨,liberality
lash,v. 猛击，撞击,strike with force
lassitude,n. 乏力，没精打采,diminished energy
latent,adj. 潜在的，不活跃的,"potential, not evident"
latitude,n. （行动或言论）自由,freedom
laudatory,adj. 表示赞扬的,praise
lavish,"adj. 奢侈的，大量的 ，无节制的
vt. 挥霍，浪费","1. extravagance and profusion
2. give readily"
leaven,vt. 在…中加入轻松、活泼或变更的因素,"mingle, permeate"
leer,vi.一瞥，斜眼看,sidelong
leery,adj. 怀疑的，不信任的,suspicious
legacy,n. 遗产,handed down from an ancestor
lucrative,adj. 有利可图的,profit
legion,adj. 大量的,numerous
lenient,adj. 宽大仁慈的,merciful
lethal,adj. 非常有害的，致命的,extremely harmful
lethargic,adj. 没精打采的，行动迟缓的,sluggish
levelheaded,adj. 明智的,sensible
levity,n. 轻浮的态度，戏谑,frivolity
liability,n. 责任,liable
liberal,"adj.思想前卫的
adj.慷慨的，大方的","1.not bound
2.generosity"
libertine,n.放荡不羁者,without moral restraint
licentious,adj.放荡的，性欲强的,lacking restraint
liken,vt.显示相似，把…比作,show as similar
limber,adj.可塑的，柔软的,flexible
limp,adj.柔软的，松散的,lacking firm
limpid,adj.透明清澈的,transparent clearness
linger,vi.磨蹭，闲荡,proceed slowly
lissome,"adj.柔软的
adj.敏捷的，轻盈的","1.easily bent
2.move with ease"
list,v.（使）倾斜,at an angle
lithe,"adj.敏捷的，轻盈的
adj.柔软的","1.grace
2.easily bent"
loath,adj.不情愿的，讨厌的,reluctant
loathe,vt.厌恶,dislike
lofty,"adj.崇高的
adj.自大的","1.elevated
2.superiority"
loll,vi.偷懒，打发时间,doing nothing
lopsided,adj.不平衡的，不协调的,lacking in balance
loquacious,adj.话多的,excessive talk
loutish,adj.粗鲁的,"awkward,stupid,and boorish"
lubricate,vt.使润滑,reduce friction
lucid,adj.表达清晰的，简单易懂的,easily understood
lug,vt.费力搬运,laboriously
lugubrious,adj.（故作夸张的）悲哀的,mournful
lull,"n.相对平静时期，间隙
vt.使镇静，使安心","1.momentary halt
2.free from distress"
lullaby,vt.使镇静，使安心,free from distress
lumber,"vi.笨拙地行动
vt.使负担（从而拖累）","1.clumsiness
2.burden"
luminary,n.杰出人物,eminence
lurch,vi.蹒跚,swaying
lurk,vi.潜伏,lie in wait
lush,adj.多产的,producing abundantly
lustrous,adj.有光泽的,shiny
luxurious,adj.奢侈的,excessive gratification
lyric,adj.如诗歌般流畅甜美的,suggestive of poetry or music
macabre,adj.恐怖的,horror of death
macerate,vt.浸化（以软化）,soaking or steeping
maculate,vt.使有斑点，弄脏；玷污，损坏,spot
maelstrom,n.混乱、动荡的局势,turbulent
magnificent,adj.壮丽的,impressive
maladroit,adj.笨拙的,lack of nimbleness
malaise,n.不舒服,bodily discomfort
malcontent,"n.不满分子
adj.不满的","1.opposition
2.dissatisfied"
malicious,adj.恶意的,deliberately harmful
malign,"adj.恶意的
vt.诽谤","1.cause suffering
2.utter injuriously"
malinger,vi.装病以逃避工作,pretend illness
malleable,"adj.可塑的
adj.易控制的","1.capable of being shaped
2.capable of being controlled"
malodorous,adj.恶臭的,unpleasant smell
mandatory,adj.强制的,forcing compliance
mangle,vt.弄砸,ruin
mangy,adj.卑劣的,contemptible
mania,n.热衷，狂热,intense enthusiasm
manifest,"adj.显然的，明显易懂的
v.显现，显露","1.understanding
2.make evident"
manipulate,vt.巧妙处理；暗中操控,deviously
mannered,adj.不自然的，做作的,artificial
manumit,vt.解放（奴隶）,release from slavery
manuscript,n.手稿,written by hand
mar,vt.破坏，削弱,impair
malfeasance,n.非法行为,illegal behavior
martinet,n.纪律严明之人,strict
marvel,"n.令人惊奇的食物
v.（因为壮观、美丽等而）表示惊讶","1.surprise,admiration,or wonder
2.feel amazement"
mash,vt.捣碎,puply mass
masquerade,"n.面具，伪装
vi.伪装，掩饰","1.display insincere
2.disguise"
mastery,n.技艺超群，精通,great skill
matriculate,v.录取,adimit or be admitted
maudlin,adj.过于感伤的,tearfully sentimental
maven,n.专家,experienced
maverick,"n.特立独行之人
adj.标新立异的，不合常规的","1.dose not conform
2.deviating"
mawkish,adj.过于感伤的,sentimental
meager,adj.贫乏的,deficient
mean,"adj.卑贱的
adj.吝啬的","1.ignoble
2.sharing little"
meander,vi.闲逛，漫步,aimlessly and idly
measly,adj.少得可怜的，微不足道的,small
measured,adj.深思熟虑的,calculated
meddle,vi.干涉，管闲事,intrude
mediate,vt.调解，调停,bring about an agreement
mediocre,adj.平庸的；质量中等偏差的,moderate
medley,adj.大杂烩，混合物,mixture
meek,adj.顺从的,submissive
meet,adj.合适的,very proper
mellifluous,adj.（曲调）优美的,smooth and sweet
melodramatic,adj.感情夸张的，伤感的,exaggeratedly emotional
menace,vt.威胁，使处于危险,intention to harm
mendacious,adj.撒谎的，虚假的,lies
mentor,vt.教导，指导,give advice
mercenary,adj.唯利是图的，贪婪的,monetary or material gain
mercurial,adj.（情绪）善变的,changeableness of mood
merited,adj.应得的，理所当然的,what is called for
mesh,v.诱捕,catch
mesmeric,adj.令人着迷的，难以抗拒的,attracting
metamorphose,vt.（使）变形,change
metaphysical,"adj.哲学上的，理论上的
adj.非尘世的","1.idea
2.beyond universe"
meteoric,adj.流星般迅速而短暂的,brevity
methodical,adj.井然有序的，有条理的,systematic order
meticulous,adj.极为谨慎的,extreme or excessive care
mettle,"n.勇气
n.毅力，耐力","1.strength of spirit
2.stamina"
miff,vt.使恼怒,annoyed
migratory,adj.迁移的,moving from one region to another
milk,vt.榨取（财富、信息等）,coerce profit
mime,v.模仿,model
mimic,"adj.仿真的，仿造的
vt.模仿","1.in appearance
2.model"
minatory,adj.带来威胁的，有凶兆的,a sign of evil
ministration,n.帮助,aiding
mingle,vt.混合，结合,mix
minimize,"vt.将…减到最少
vt.可以低估","1.reduce to smallest
2.underestimate"
mint,adj.无损坏的,unmarred
minuscule,adj.极小的,very small
minute,"adj.仔细的，谨小慎微的
adj.小的，不重要的","1.carefully scrutiny
2.of small important"
minutiae,n.次要的细节，小事,minor detail
mirage,n.海市蜃楼，幻想,illusory
mire,"n.困境
vt.使陷入困境，拖后腿","1.difficult situation
2.hold back"
mirth,n.欢乐，欢笑,gladness
misanthropic,adj.反人类的,deep distrust of human
misbehaving,adj.调皮的，行为不端的,childish misbehavior
mischievous,adj.调皮的，淘气的,naughty teasing
misconstrue,vi.误解，曲解,mistake
miscreant,n.恶棍，罪犯,behaves criminally
misdemeanour,n.轻罪,crime less serious
miserly,adj.吝啬的,penuriousness
manacle,vt.限制，给…制造困难,confine or restrain
misgiving,n.担忧，疑虑,doubt
mishap,n.不幸之事,unfortunate
misrepresent,vi.误传，篡改,give misleading representation
mite,n.微小的东西，很少的钱,small object
mitigate,vt.减轻痛苦，使缓和,less severe
majestic,adj.宏伟壮丽的,impressively beautiful
mockery,"n.鄙视，嘲弄
n.以嘲笑为目的的模仿","1.ridicule
2.derisive,imitation"
moderate,"vt.使缓和
adj.适度的，中庸的","1.lessen intensity
2.within limits"
modicum,n.少量,small portion
mollify,vt.平息，抚慰，缓和,calm
mollycoddle,vt.宠爱，溺爱,excessive indulgence
molt,vi.脱（羽、皮等）,shed feathers
momentous,adj.极重要的,utmost importance
momentum,n.动力；势头,impetus
mongrel,adj.杂种的，混血儿的,mixed origin
monochromatic,adj.单调无聊的,lacking variety
monologue,n.独白,by one actor
monotonous,adj.无聊的,tediously unvarying
montage,n.大杂烩,collection
moratorium,n.延期，暂缓实行,suspension
morbid,"adj.疾病的，疾病所指的
adj.（思想性格）变态的","1.by disease
2.unwholesome thoughts"
mordant,adj.尖酸刻薄的,biting caustic
moribund,adj.即将过时的,obsolete
morose,adj.忧郁的,slluen gloomy
mosaic,n.综合物，马赛克般的东西,collection
monolithic,adj.大一统的,"single, uniform"
moth-eaten,adj.过时的,passed its time
motile,adj.能动的,movement
motivate,vt.刺激，激发,provide incentive
motley,adj.混杂的，富于变化的,variety
mottle,vt.标记上杂色斑点的,mark spots
multifarious,adj.多种多样的,many and various
mournful,adj.悲伤的,expressing sorrow
metaphor,adj.暗喻,used to refer to another thing similar
muddy,"adj.浑浊的，不清晰的
vt.使难以理解","1.lacking clarity
2.make unclear"
muffle,vt.使消声,deaden the sound
mulish,adj.固执的,obstinate
mumble,v.说话含糊,utter confused
mundane,adj.平凡的,commonplace
munificent,adj.慷慨的,liberal in giving
murky,adj.模糊的，晦涩的,lacking clarity
murmur,vi.低声抱怨，发牢骚,grumble
mutate,v.（使）改变，（使）变异,undergo mutation
mute,adj.不说话的，缄默的,refraining from speech
mutter,vi.低声抱怨,murmur complainingly
myopic,adj.缺乏远见的，缺乏辨识能力的,lack of foresight
myriad,adj.无限的，大量的,indefinite number
nadir,n.最低点,lowest point
naive,adj.天真纯朴的,lacking wordly experience
narcissistic,adj.自恋的,undue fascination with oneself
nascent,adj.新生的,recently come into existence
natty,adj.整洁的，时髦的,tidy
nauseate,v.（使）厌恶，（使）作呕,cause disgust
nautical,adj.航海的,water
naysay,vt.拒绝，否认,"oppose,deny"
nebulous,adj.模糊的,indistinct
needy,adj.贫困的,impoverished
nefarious,adj.极坏的，邪恶的,wicked
negation,n.否定,opposite
negligent,adj.疏忽大意的,failing care
negotiate,v.商量，谈判,by mutual agreement
neophyte,n.初学者，新手,beginner
nerve,"n.（坚强的）意志，勇气
vt.给予勇气，鼓励","1.power of endurance
2.give courage"
nettle,vt.惹怒,arouse anger
neutralize,vt.使无效,make inoperative or ineffective
nexus,"n.连结
n.核心，最重要的地带","1.connection
2.greatest importance"
nibble,vt.小口咬,small bites
nicety,n.准确，精确,careful details
nil,n.不存在，零,nothing
nip,"n.少量
vi.小口吃喝","1.small amount
2.in small amount"
nitpick,v.吹毛求疵,criticize
nocturnal,adj.夜间的,in the night
noisome,"adj.恶臭的
adj.非常令人厌恶的","1.offensive smell
2.objectionable"
nomad,adj./n. 游牧的；居无定所的人,no fixed residence
nominal,adj.不重要的,unimportant
nonchalant,adj.冷漠的,indifference
nondescript,adj.平凡的，不吸引人的,lacking distinctive or interesting
nonentity,n.不重要的人,little consequence
nonplus,vt.使迷惑，使困窘,perplex
numinous,adj.神秘的，超自然的,supernatural and mysterious
notch,vt.通过努力获得,obtain
novel,adj.新奇的,new
noxious,"adj.有害的，有毒的
adj.产生强烈厌恶的","1.harmful;injurious to health
2.causing intense displeasure"
nuance,n.细微的差异,subtle distinction
nudge,vt.说服某人做某事,persuade
nugatory,adj.无关紧要的,consequence;inconsequential
nurture,vt.培育，培养,provide with understanding
obtrusive,adj.扎眼的，难看显眼的,noticeable in an unpleasant
obdurate,"adj.固执的
adj.冷酷无情的","1.resistant influence
2.lack of sympathy"
obedient,adj.服从的，顺从的,submissive authority
obeisance,n.敬礼，尊重,"respect,submission"
obfuscate,vt.使困惑，使模糊,confused opaque
obligatory,adj.强制性的,compulsory
obliging,adj.乐于助人的,do favors
oblique,adj.斜的,inclined or twisted
obliterate,vt.除去,remove
